Job Title,Link,Keys,Remote Testing,Adaptive/IRT
,,,No,No
Account Manager Solution,/solutions/products/product-catalog/view/account-manager-solution/,"C, P, A, B",Yes,Yes
Administrative Professional - Short Form,/solutions/products/product-catalog/view/administrative-professional-short-form/,"A, K, P",Yes,Yes
Agency Manager Solution,/solutions/products/product-catalog/view/agency-manager-solution/,"A, B, P, S",Yes,Yes
Branch Manager - Short Form,/solutions/products/product-catalog/view/branch-manager-short-form/,"A, B, P",Yes,No
Contact Center Manager - Short Form,/solutions/products/product-catalog/view/contact-center-manager-short-form/,"A, B, P, S",Yes,Yes
District/Regional Manager Solution,/solutions/products/product-catalog/view/districtregional-manager-solution/,"A, B, P",Yes,Yes
Event Sales Manager Solution,/solutions/products/product-catalog/view/event-sales-manager-solution/,"S, A, B, P",Yes,Yes
Gaming Manager Solution,/solutions/products/product-catalog/view/gaming-manager-solution/,"S, A, B, K, P",Yes,Yes
Guest Services Associate Solution,/solutions/products/product-catalog/view/guest-services-associate-solution/,"A, B, P, S",Yes,Yes
Hospitality Manager Solution,/solutions/products/product-catalog/view/hospitality-manager-solution/,"A, B, K, P",Yes,Yes
Insurance Account Manager Solution,/solutions/products/product-catalog/view/insurance-account-manager-solution/,"A, B, P, S",Yes,Yes
Insurance Director Solution,/solutions/products/product-catalog/view/insurance-director-solution/,"A, B, P",Yes,Yes
,,,No,No
Adobe Experience Manager (New),/solutions/products/product-catalog/view/adobe-experience-manager-new/,K,Yes,No
Civil Engineering (New),/solutions/products/product-catalog/view/civil-engineering-new/,K,Yes,No
Culinary Skills (New),/solutions/products/product-catalog/view/culinary-skills-new/,K,Yes,No
Cyber Risk (New),/solutions/products/product-catalog/view/cyber-risk-new/,K,Yes,No
Digital Advertising (New),/solutions/products/product-catalog/view/digital-advertising-new/,K,Yes,No
Digital Readiness Development Report - IC,/solutions/products/product-catalog/view/digital-readiness-development-report/,P,Yes,No
Digital Readiness Development Report - Manager,/solutions/products/product-catalog/view/digital-readiness-development-report-manager/,P,Yes,No
Executive Scenarios,/solutions/products/product-catalog/view/executive-scenarios/,B,Yes,No
Executive Scenarios Narrative Report,/solutions/products/product-catalog/view/executive-scenarios-narrative-report/,B,Yes,No
Executive Scenarios Profile Report,/solutions/products/product-catalog/view/executive-scenarios-profile-report/,B,Yes,No
Financial Accounting (New),/solutions/products/product-catalog/view/financial-accounting-new/,K,Yes,No
Financial and Banking Services (New),/solutions/products/product-catalog/view/financial-and-banking-services-new/,K,Yes,No
